Emp No,Emp Name,Date,In time,Out time
100,Sameera,"Sunday, November 10, 2019",7:12:00 AM, 17:00:00 PM
101,Dilshan,"Monday, November 11, 2019",7:36:00 AM, 18:00:00 PM
102,Malaka,"Tuesday, November 12, 2019",7:52:48 AM, 19:10:00 PM
103,Thevin,"Wednesday, November 13, 2019",8:52:48 AM, 17:20:00 PM
104,Dewaka,"Thursday, November 14, 2019",9:52:48 AM, 17:20:00 PM
105,Dabare,"Friday, November 15, 2019",10:52:48 AM, 17:40:00 PM
106,Lasindu,"Saturday, November 16, 2019",11:52:48 AM, 17:02:50 PM
107,Induwara,"Sunday, November 17, 2019",12:52:48 PM, 17:02:00 PM
108,Jayalath,"Monday, November 18, 2019",1:52:48 PM, 17:50:00 PM
109,Pasan,"Tuesday, November 19, 2019",2:52:48 PM, 17:02:00 PM
110,Anuranga,"Wednesday, November 20, 2019",3:52:48 PM, 17:25:00 PM
111,Gihan,"Thursday, November 21, 2019",4:52:48 PM, 17:30:00 PM
112,Nipun,"Friday, November 22, 2019",5:52:48 PM, 17:00:00 PM
113,Nimsara,"Saturday, November 23, 2019",6:52:48 PM, 17:22:00 PM
