Emp No,Emp Name,Date,In time,Out time
100,Sameera,19/11/2019,7:12:00 AM, 17:00:00 PM
101,Dilshan,19/11/2020,7:36:00 AM, 18:00:00 PM
102,Malaka,19/11/2021,7:52:48 AM, 19:10:00 PM
103,Thevin,19/11/2022,8:52:48 AM, 17:20:00 PM
104,Dewaka,19/11/2023,9:52:48 AM, 17:20:00 PM
105,Dabare,19/11/2024,10:52:48 AM, 17:40:00 PM
106,Lasindu,19/11/2025,11:52:48 AM, 17:02:50 PM
107,Induwara,19/11/2026,12:52:48 PM, 17:02:00 PM
108,Jayalath,19/11/2027,1:52:48 PM, 17:50:00 PM
109,Pasan,19/11/2028,2:52:48 PM, 17:02:00 PM
110,Anuranga,19/11/2029,3:52:48 PM, 17:25:00 PM
111,Gihan,19/11/2030,4:52:48 PM, 17:30:00 PM
112,Nipun,19/11/2031,5:52:48 PM, 17:00:00 PM
113,Nimsara,19/11/2032,6:52:48 PM, 17:22:00 PM
